count,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,class_accuracy_mean,class_accuracy_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_f1_mean,best_val_f1_std,best_val_precision_mean,best_val_precision_std,best_val_sensitivity_mean,best_val_sensitivity_std,best_val_specificity_mean,best_val_specificity_std,best_val_class_accuracy_mean,best_val_class_accuracy_std,final_accuracy_mean,final_accuracy_std,seed_mean,seed_std,best_epoch_mean,best_epoch_std,stopped_epoch_mean,stopped_epoch_std,epochs_ran_mean,epochs_ran_std,early_stopped_mean,early_stopped_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,dataset,model,protocol,seed
1,0.5283203125,0.0,0.5048148835734331,0.0,0.5209807343110031,0.0,0.5004038911732687,0.0,0.8361169614963532,0.0,0.76416015625,0.0,0.5283203125,0.0,0.5048148835734331,0.0,0.5209807343110031,0.0,0.5004038911732687,0.0,0.8361169614963532,0.0,0.76416015625,0.0,0.5283203125,0.0,1.0,0.0,176.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,12288.0,0.0,3072.0,0.0,3072.0,0.0,deap,da_snn,random_80_20,1
1,0.4905598958333333,0.0,0.44657955082176887,0.0,0.5053855467124969,0.0,0.4465669652043934,0.0,0.8177944885776398,0.0,0.7452799479166667,0.0,0.4905598958333333,0.0,0.44657955082176887,0.0,0.5053855467124969,0.0,0.4465669652043934,0.0,0.8177944885776398,0.0,0.7452799479166667,0.0,0.4905598958333333,0.0,2.0,0.0,123.0,0.0,153.0,0.0,153.0,0.0,1.0,0.0,12288.0,0.0,3072.0,0.0,3072.0,0.0,deap,da_snn,random_80_20,2
1,0.5452473958333334,0.0,0.5135674244507654,0.0,0.5573322890581476,0.0,0.5034068491126295,0.0,0.8371886097043034,0.0,0.7726236979166666,0.0,0.5452473958333334,0.0,0.5135674244507654,0.0,0.5573322890581476,0.0,0.5034068491126295,0.0,0.8371886097043034,0.0,0.7726236979166666,0.0,0.5452473958333334,0.0,3.0,0.0,133.0,0.0,163.0,0.0,163.0,0.0,1.0,0.0,12288.0,0.0,3072.0,0.0,3072.0,0.0,deap,da_snn,random_80_20,3
1,0.5335286458333334,0.0,0.5075123270692279,0.0,0.5329878019377259,0.0,0.5012776474241581,0.0,0.8356946673463703,0.0,0.7667643229166667,0.0,0.5335286458333334,0.0,0.5075123270692279,0.0,0.5329878019377259,0.0,0.5012776474241581,0.0,0.8356946673463703,0.0,0.7667643229166667,0.0,0.5335286458333334,0.0,4.0,0.0,177.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,12288.0,0.0,3072.0,0.0,3072.0,0.0,deap,da_snn,random_80_20,4
1,0.5309244791666666,0.0,0.5102328104957098,0.0,0.532085705007949,0.0,0.5080794856788398,0.0,0.8368639817555223,0.0,0.7654622395833334,0.0,0.5309244791666666,0.0,0.5102328104957098,0.0,0.532085705007949,0.0,0.5080794856788398,0.0,0.8368639817555223,0.0,0.7654622395833334,0.0,0.5309244791666666,0.0,5.0,0.0,132.0,0.0,162.0,0.0,162.0,0.0,1.0,0.0,12288.0,0.0,3072.0,0.0,3072.0,0.0,deap,da_snn,random_80_20,5
