accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.26769061985737796,0.13843122563667298,0.13974484648981997,0.2163060756027165,0.8050214251803833,0.7070762479429511,0.24849149753154143,0.12155059689091516,0.16305992032451888,0.19848923338065613,0.7996327529493232,0.6993965990126166,0.26769061985737796,subject_01,42,1,31,31,True,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,26664,1823,1823
0.4070213933077345,0.3137623138469973,0.37543101804540596,0.3748796307996224,0.8455528807347648,0.7628085573230938,0.3982446516730664,0.30079863655548367,0.3472365049673526,0.3650835404985899,0.8434098579921461,0.7592978606692267,0.4070213933077345,subject_02,42,21,51,51,True,"1,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,2,26664,1823,1823
0.4125068568294021,0.3428235109231695,0.39064984285230026,0.4051353164171269,0.8486501236710826,0.7650027427317608,0.41799232035106965,0.3479958622034552,0.3760326679747875,0.40942463279850927,0.8502366138432362,0.767196928140428,0.4125068568294021,subject_03,42,14,44,44,True,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16",3,3,26664,1823,1823
0.287986834887548,0.17531538006609101,0.19896563678822834,0.25138439666111745,0.813668371167339,0.7151947339550192,0.2945693911135491,0.17838642765720897,0.21060479201994814,0.25761301296259104,0.8154857934075203,0.7178277564454196,0.287986834887548,subject_04,42,5,35,35,True,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16",4,4,26664,1823,1823
0.34393856280855734,0.22759592310947624,0.2856191937963045,0.30501824016260365,0.8273798914588051,0.737575425123423,0.3494240263302249,0.23465403603835275,0.3102255333362378,0.3105118454157857,0.8286776202885215,0.73976961053209,0.34393856280855734,subject_05,42,28,58,58,True,"1,2,3,4,6,7,8,9,10,11,12,13,14,15,16",5,5,26664,1823,1823
0.2797586396050466,0.24898203421670942,0.30501031340757473,0.2760117786422463,0.8143338590317859,0.7119034558420186,0.28195282501371366,0.24276388370220442,0.2968773866273289,0.27724549102330565,0.8149008672069342,0.7127811300054855,0.2797586396050466,subject_06,42,17,47,47,True,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16",6,6,26664,1823,1823
0.3423817863397548,0.24926561797234395,0.24792783660280832,0.31556147232409587,0.8244989925103183,0.7369527145359018,0.3476357267950963,0.25354884382021253,0.3448066133259678,0.3211150696282169,0.8259312114028621,0.7390542907180386,0.3423817863397548,subject_07,42,12,42,42,True,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,16",7,7,27345,1142,1142
0.42786615469007133,0.39488232574280946,0.47509690496614637,0.4320544514243439,0.8530927048697989,0.7711464618760285,0.42567196928140427,0.3931227436054822,0.47875027526855723,0.42927073660772574,0.8524516746685855,0.7702687877125618,0.42786615469007133,subject_08,42,30,60,60,True,"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16",8,8,26664,1823,1823
0.3406472846955568,0.2808912038981825,0.2820637356129563,0.31488185731340945,0.831209991033325,0.7362589138782227,0.34393856280855734,0.28507106546322236,0.287749532028314,0.3190214882581754,0.8320435767920461,0.737575425123423,0.3406472846955568,subject_09,42,67,97,97,True,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16",9,9,26664,1823,1823
0.27207899067471203,0.19061789697370957,0.2517172926257419,0.25455219340993795,0.8146989050291301,0.7088315962698848,0.27537026878771254,0.19924502363140234,0.2959188958050832,0.2592306634758351,0.8153193312136873,0.710148107515085,0.27207899067471203,subject_10,42,3,33,33,True,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16",10,10,26664,1823,1823
0.33187054306088865,0.26761415758250295,0.2797117591010467,0.3173951733873873,0.8267257805360625,0.7327482172243555,0.33571036752605593,0.2703353599932337,0.28340098797464497,0.3212070052954571,0.8275948114794189,0.7342841470104224,0.33187054306088865,subject_11,42,40,70,70,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16",11,11,26664,1823,1823
0.30773450356555127,0.21554290410856378,0.243047679007177,0.2751192042624032,0.8175995590773317,0.7230938014262206,0.31760833790455295,0.2255657623267655,0.2648650489751796,0.28462008380227233,0.8199807008470998,0.7270433351618212,0.30773450356555127,subject_12,42,15,45,45,True,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16",12,12,26664,1823,1823
0.4476138233680746,0.39677645364243197,0.43336521192545907,0.433003543533664,0.8589684705697401,0.7790455293472298,0.44706527701590787,0.4020112091568079,0.4289778483802216,0.43475151417917124,0.8590259397486492,0.7788261108063631,0.4476138233680746,subject_13,42,38,68,68,True,"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16",13,13,26664,1823,1823
0.2528798683488755,0.1309676955169125,0.2667802048381833,0.20361444970044412,0.8009165921449248,0.7011519473395502,0.25617114646187605,0.13332495925979598,0.17701200903791298,0.20668315542024113,0.8018286966976735,0.7024684585847504,0.2528798683488755,subject_14,42,3,33,33,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16",14,14,26664,1823,1823
0.3713658804168952,0.3059888445349791,0.3297811641627719,0.34095007123270415,0.8368766231866095,0.748546352166758,0.39166209544706526,0.31828527059828643,0.33598817809087667,0.3579704322491151,0.8421452223532075,0.7566648381788261,0.3713658804168952,subject_15,42,5,35,35,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16",15,15,26664,1823,1823
0.356006582556226,0.34110694712912204,0.34533255009025676,0.3452802145654826,0.8369514450208817,0.7424026330224904,0.34448710916072406,0.3305343064577353,0.33438581965770914,0.3337017599952964,0.8341584504008818,0.7377948436642896,0.356006582556226,subject_16,42,49,79,79,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",16,16,26664,1823,1823
