accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.4678927680798005,0.24509795127051676,0.24383040409003237,0.28429558344239997,0.7733460450041658,0.7339463840399002,0.4678927680798005,0.24509795127051676,0.24383040409003237,0.28429558344239997,0.7733460450041658,0.7339463840399002,0.4678927680798005,subject_group_00,42,74,104,104,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22","11,18,19,23","11,18,19,23",15238,3208,3208
0.4136533665835411,0.2768742477896891,0.27339223939844615,0.30961552289534067,0.7745842110693313,0.7068266832917705,0.4136533665835411,0.2768742477896891,0.27339223939844615,0.30961552289534067,0.7745842110693313,0.7068266832917705,0.4136533665835411,subject_group_01,42,40,70,70,True,"1,2,3,4,5,6,9,10,11,12,13,14,15,18,19,20,21,22,23","7,8,16,17","7,8,16,17",15238,3208,3208
0.432356608478803,0.15170885961256184,0.14396170839469807,0.2503176620076239,0.7503409042992367,0.7161783042394014,0.432356608478803,0.15170885961256184,0.14396170839469807,0.2503176620076239,0.7503409042992367,0.7161783042394014,0.432356608478803,subject_group_02,42,19,49,49,True,"2,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,21,22,23","1,4,10,20","1,4,10,20",15238,3208,3208
0.5648379052369077,0.194775053699609,0.33429608585858583,0.2566350737862531,0.7544546626165701,0.7824189526184537,0.5648379052369077,0.194775053699609,0.33429608585858583,0.2566350737862531,0.7544546626165701,0.7824189526184537,0.5648379052369077,subject_group_03,42,9,39,39,True,"1,2,3,4,5,7,8,9,10,11,14,16,17,18,19,20,21,22,23","6,12,13,15","6,12,13,15",15238,3208,3208
0.4763092269326683,0.16182535766461695,0.36903648269410666,0.25027292576419213,0.7501487209994051,0.7381546134663342,0.4763092269326683,0.16182535766461695,0.36903648269410666,0.25027292576419213,0.7501487209994051,0.7381546134663342,0.4763092269326683,subject_group_04,42,1,31,31,True,"1,2,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23","3,5,21,22","3,5,21,22",15238,3208,3208
