accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.3624750499001996,0.30982169404168597,0.335965312388552,0.3480739614814905,0.7842988349956023,0.6812375249500998,0.3664670658682635,0.3140744973047065,0.34543833636075444,0.3512607799681679,0.7855980307231376,0.6832335329341318,0.3624750499001996,subject_01,42,27,57,57,True,"2,3,4,5,6,7,8,9,10,11,12,13,14,15",1,1,35070,2505,2505
0.3093812375249501,0.2753264099553493,0.3128970013179974,0.2972499780767616,0.7677692492314171,0.654690618762475,0.3189620758483034,0.2830720697025063,0.3196864276957621,0.3061723628149329,0.7709050716338385,0.6594810379241517,0.3093812375249501,subject_02,42,14,44,44,True,"1,3,4,5,6,7,8,9,10,11,12,13,14,15",2,2,35070,2505,2505
0.34171656686626745,0.3454649643021024,0.3542394508047702,0.34271917399816604,0.7792612668089299,0.6708582834331338,0.34850299401197604,0.35230296969030217,0.362831640051767,0.34893094260660734,0.7813803414564853,0.674251497005988,0.34171656686626745,subject_03,42,56,86,86,True,"1,2,4,5,6,7,8,9,10,11,12,13,14,15",3,3,35070,2505,2505
0.4554890219560878,0.3813949756254057,0.43587381776437045,0.42778875183440407,0.8145643820953755,0.7277445109780439,0.4542914171656687,0.3740222247854314,0.42014509157892277,0.4255009829090385,0.8141597979849607,0.7271457085828342,0.4554890219560878,subject_04,42,25,55,55,True,"1,2,3,5,6,7,8,9,10,11,12,13,14,15",4,4,35070,2505,2505
0.3564870259481038,0.2488791273164295,0.31263257575757575,0.33128799163966427,0.7799446146795095,0.6782435129740518,0.36087824351297404,0.25613789164748196,0.3228157478798782,0.335511348043628,0.7815299977280316,0.680439121756487,0.3564870259481038,subject_05,42,7,37,37,True,"1,2,3,4,6,7,8,9,10,11,12,13,14,15",5,5,35070,2505,2505
0.34291417165668664,0.2947838121388173,0.32874432859554387,0.360656105079446,0.7819980577992405,0.6714570858283433,0.350499001996008,0.30363840070722925,0.35130918356672164,0.3688880883604856,0.7845239115808069,0.675249500998004,0.34291417165668664,subject_06,42,28,58,58,True,"1,2,3,4,5,7,8,9,10,11,12,13,14,15",6,6,35070,2505,2505
0.4155688622754491,0.4027818775954525,0.4677012507334639,0.43105480241916627,0.8058378460414923,0.7077844311377245,0.4159680638722555,0.4038822791734965,0.4705300776695824,0.4328182187304184,0.8060776025418945,0.7079840319361277,0.4155688622754491,subject_07,42,39,69,69,True,"1,2,3,4,5,6,8,9,10,11,12,13,14,15",7,7,35070,2505,2505
0.41996007984031936,0.38654785678663084,0.47387886362900955,0.4074496447198772,0.8023909046181195,0.7099800399201597,0.4243512974051896,0.39158628753899616,0.4919374837801411,0.4114868379683341,0.8037788921884997,0.7121756487025948,0.41996007984031936,subject_08,42,56,86,86,True,"1,2,3,4,5,6,7,9,10,11,12,13,14,15",8,8,35070,2505,2505
0.4499001996007984,0.4261463450079186,0.4476180807143283,0.4421212409429693,0.8153398286045045,0.7249500998003993,0.45868263473053894,0.4352362885663426,0.45315112692351245,0.45194225725537707,0.8184157396017605,0.7293413173652694,0.4499001996007984,subject_09,42,41,71,71,True,"1,2,3,4,5,6,7,8,10,11,12,13,14,15",9,9,35070,2505,2505
0.4055888223552894,0.372242140824303,0.3803926586972392,0.4041233233828354,0.8018068803617009,0.7027944111776447,0.4103792415169661,0.3791510261275482,0.3897590132617517,0.4096864405689517,0.8034736001006414,0.705189620758483,0.4055888223552894,subject_10,42,38,68,68,True,"1,2,3,4,5,6,7,8,9,11,12,13,14,15",10,10,35070,2505,2505
0.36367265469061877,0.33795713505510555,0.42389776169975285,0.34996307045209263,0.7833886918582244,0.6818363273453094,0.36686626746506984,0.3422692379102884,0.4437811743130382,0.3528872260487981,0.7843511386316007,0.683433133732535,0.36367265469061877,subject_11,42,18,48,48,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15",11,11,35070,2505,2505
0.39241516966067863,0.32003492438555015,0.3127643399268481,0.37378381718479103,0.793735669786735,0.6962075848303393,0.39520958083832336,0.3228748577799874,0.32708590304532625,0.3770124462771137,0.7947590497210761,0.6976047904191617,0.39241516966067863,subject_12,42,19,49,49,True,"1,2,3,4,5,6,7,8,9,10,11,13,14,15",12,12,35070,2505,2505
0.26666666666666666,0.15780860442300637,0.23635325054567705,0.24998452680666908,0.7501094132246379,0.6333333333333333,0.27345309381237526,0.15828616514593266,0.24758286891406167,0.25545981010381896,0.7521439961463813,0.6367265469061877,0.26666666666666666,subject_13,42,3,33,33,True,"1,2,3,4,5,6,7,8,9,10,11,12,14,15",13,13,35070,2505,2505
0.3788423153692615,0.3483990831092867,0.3664201520770404,0.37752153025577867,0.7909562076200146,0.6894211576846307,0.38882235528942116,0.35875643294470794,0.3771593074620333,0.38615440560190517,0.7944152603797227,0.6944111776447106,0.3788423153692615,subject_14,42,58,88,88,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,15",14,14,35070,2505,2505
0.36327345309381237,0.3386124554586095,0.3556712401946702,0.38490044728814754,0.7899829093281497,0.6816367265469061,0.3728542914171657,0.34993299204299677,0.3672701247607963,0.393963143057048,0.7931211937878541,0.6864271457085829,0.36327345309381237,subject_15,42,150,180,180,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,15,35070,2505,2505
