accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.4445137157107232,0.21897947857935868,0.2248115119833256,0.2660931899641577,0.7595242114394519,0.7222568578553616,0.4401496259351621,0.21685094015679623,0.2217471597792901,0.26349820788530465,0.7577366998446567,0.7200748129675811,0.4445137157107232,subject_group_00,42,10,40,40,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22","11,18,19,23","11,18,19,23",15238,3208,3208
0.38061097256857856,0.14422930448128388,0.17539265357821404,0.25000338300293856,0.7500258609684988,0.6903054862842892,0.38061097256857856,0.1450112802099723,0.17439325861464194,0.2500293787097298,0.7500481759885982,0.6903054862842892,0.38061097256857856,subject_group_01,42,1,31,31,True,"1,2,3,4,5,6,9,10,11,12,13,14,15,18,19,20,21,22,23","7,8,16,17","7,8,16,17",15238,3208,3208
0.4307980049875312,0.1535645061460279,0.17735980494601183,0.24996493341474282,0.7498924862085365,0.7153990024937655,0.4298628428927681,0.154002998758856,0.16346187432323867,0.249561094700866,0.7497524405687338,0.714931421446384,0.4307980049875312,subject_group_02,42,1,31,31,True,"2,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,21,22,23","1,4,10,20","1,4,10,20",15238,3208,3208
0.5567331670822943,0.17902967121090618,0.13961851156973107,0.2494413407821229,0.7499347371809251,0.7783665835411471,0.557356608478803,0.17912242035664194,0.13964386129334583,0.24972067039106144,0.7500953597502018,0.7786783042394014,0.5567331670822943,subject_group_03,42,3,33,33,True,"1,2,3,4,5,7,8,9,10,11,14,16,17,18,19,20,21,22,23","6,12,13,15","6,12,13,15",15238,3208,3208
0.47599750623441395,0.16124604012671595,0.11899937655860349,0.25,0.75,0.737998753117207,0.47599750623441395,0.16124604012671595,0.11899937655860349,0.25,0.75,0.737998753117207,0.47599750623441395,subject_group_04,42,8,38,38,True,"1,2,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23","3,5,21,22","3,5,21,22",15238,3208,3208
