count,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,class_accuracy_mean,class_accuracy_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_f1_mean,best_val_f1_std,best_val_precision_mean,best_val_precision_std,best_val_sensitivity_mean,best_val_sensitivity_std,best_val_specificity_mean,best_val_specificity_std,best_val_class_accuracy_mean,best_val_class_accuracy_std,final_accuracy_mean,final_accuracy_std,seed_mean,seed_std,best_epoch_mean,best_epoch_std,stopped_epoch_mean,stopped_epoch_std,epochs_ran_mean,epochs_ran_std,early_stopped_mean,early_stopped_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,dataset,model,protocol,seed
1,0.27864271457085826,0.0,0.1329373566458243,0.0,0.2300968534041985,0.0,0.2572639578123583,0.0,0.7527512716817762,0.0,0.6393213572854292,0.0,0.27864271457085826,0.0,0.1329373566458243,0.0,0.2300968534041985,0.0,0.2572639578123583,0.0,0.7527512716817762,0.0,0.6393213572854292,0.0,0.27864271457085826,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,da_snn,loso,42
1,0.3121756487025948,0.0,0.21995303633448987,0.0,0.22554119537157344,0.0,0.2899687891975081,0.0,0.764564200182667,0.0,0.6560878243512973,0.0,0.3121756487025948,0.0,0.21995303633448987,0.0,0.22554119537157344,0.0,0.2899687891975081,0.0,0.764564200182667,0.0,0.6560878243512973,0.0,0.3121756487025948,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,eegnet,loso,42
1,0.2810379241516966,0.0,0.14182079310363,0.0,0.30968278704545427,0.0,0.2601805463953135,0.0,0.7538255618718169,0.0,0.6405189620758484,0.0,0.2810379241516966,0.0,0.14182079310363,0.0,0.30968278704545427,0.0,0.2601805463953135,0.0,0.7538255618718169,0.0,0.6405189620758484,0.0,0.2810379241516966,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,deepconvnet,loso,42
1,0.25788423153692613,0.0,0.24355179428295862,0.0,0.2532047787296249,0.0,0.252373810217204,0.0,0.75082961913769,0.0,0.6289421157684632,0.0,0.2654690618762475,0.0,0.247661806147821,0.0,0.2570122138676132,0.0,0.25817248494509887,0.0,0.7529491740749313,0.0,0.6327345309381237,0.0,0.25788423153692613,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,dh_snn,loso,42
1,0.3213572854291417,0.0,0.2459545742845473,0.0,0.3611807304565351,0.0,0.3090808988516415,0.0,0.7689748608815403,0.0,0.6606786427145709,0.0,0.3213572854291417,0.0,0.2459545742845473,0.0,0.3611807304565351,0.0,0.3090808988516415,0.0,0.7689748608815403,0.0,0.6606786427145709,0.0,0.3213572854291417,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,efficientnet_b0,loso,42
1,0.34810379241516964,0.0,0.25690671054722003,0.0,0.5132127933140469,0.0,0.33413759570540225,0.0,0.7789705170501189,0.0,0.6740518962075849,0.0,0.34810379241516964,0.0,0.25690671054722003,0.0,0.5132127933140469,0.0,0.33413759570540225,0.0,0.7789705170501189,0.0,0.6740518962075849,0.0,0.34810379241516964,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,mobilenetv3_large,loso,42
1,0.30379241516966066,0.0,0.21633138694692355,0.0,0.33234158297285626,0.0,0.2837660375791821,0.0,0.7616201463446444,0.0,0.6518962075848304,0.0,0.30379241516966066,0.0,0.21633138694692355,0.0,0.33234158297285626,0.0,0.2837660375791821,0.0,0.7616201463446444,0.0,0.6518962075848304,0.0,0.30379241516966066,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,mobilenetv3_small,loso,42
1,0.27265469061876246,0.0,0.10712045169385194,0.0,0.06816367265469062,0.0,0.25,0.0,0.75,0.0,0.6363273453093812,0.0,0.27265469061876246,0.0,0.10712045169385194,0.0,0.06816367265469062,0.0,0.25,0.0,0.75,0.0,0.6363273453093812,0.0,0.27265469061876246,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,shallowconvnet,loso,42
1,0.2898203592814371,0.0,0.18637293497816837,0.0,0.3795713915186098,0.0,0.27225566648846844,0.0,0.7571190263550701,0.0,0.6449101796407185,0.0,0.2898203592814371,0.0,0.18637293497816837,0.0,0.3795713915186098,0.0,0.27225566648846844,0.0,0.7571190263550701,0.0,0.6449101796407185,0.0,0.2898203592814371,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,shufflenetv2,loso,42
1,0.27065868263473053,0.0,0.10650329877474081,0.0,0.06766467065868263,0.0,0.25,0.0,0.75,0.0,0.6353293413173653,0.0,0.27065868263473053,0.0,0.10650329877474081,0.0,0.06766467065868263,0.0,0.25,0.0,0.75,0.0,0.6353293413173653,0.0,0.27065868263473053,0.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35070.0,0.0,2505.0,0.0,2505.0,0.0,seediv,squeezenetv2,loso,42
