accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.5039588281868567,0.4900187805953955,0.5805919036463412,0.5024563485380837,0.7531341731824462,0.6693058854579045,0.5039588281868567,0.4900187805953955,0.5805919036463412,0.5024563485380837,0.7531341731824462,0.6693058854579045,0.5039588281868567,subject_01,42,11,41,41,True,"2,3,4,5,6,7,8,9,10,11,12,13,14,15",1,1,35364,2526,2526
0.42953285827395093,0.39520923478809916,0.4889992826721566,0.4350292733344158,0.7170222658457339,0.6196885721826338,0.42953285827395093,0.39520923478809916,0.4889992826721566,0.4350292733344158,0.7170222658457339,0.6196885721826338,0.42953285827395093,subject_02,42,18,48,48,True,"1,3,4,5,6,7,8,9,10,11,12,13,14,15",2,2,35364,2526,2526
0.6282660332541568,0.6243512577753059,0.6250950697431635,0.6260756710513794,0.8140864493501594,0.7521773555027712,0.6282660332541568,0.6243512577753059,0.6250950697431635,0.6260756710513794,0.8140864493501594,0.7521773555027712,0.6282660332541568,subject_03,42,19,49,49,True,"1,2,4,5,6,7,8,9,10,11,12,13,14,15",3,3,35364,2526,2526
0.551464766429137,0.46678187599463455,0.47482926115178764,0.549476049666182,0.7760637212110156,0.700976510952758,0.551464766429137,0.46678187599463455,0.47482926115178764,0.549476049666182,0.7760637212110156,0.700976510952758,0.551464766429137,subject_04,42,37,67,67,True,"1,2,3,5,6,7,8,9,10,11,12,13,14,15",4,4,35364,2526,2526
0.49683293745051466,0.4466696948391482,0.6013367995993674,0.49202852668783675,0.7472040417376635,0.6645552916336764,0.49683293745051466,0.4466696948391482,0.6013367995993674,0.49202852668783675,0.7472040417376635,0.6645552916336764,0.49683293745051466,subject_05,42,21,51,51,True,"1,2,3,4,6,7,8,9,10,11,12,13,14,15",5,5,35364,2526,2526
0.6084718923198733,0.5811662799193279,0.6086109702438491,0.6062168840311591,0.8044602024729319,0.7389812615465822,0.6084718923198733,0.5811662799193279,0.6086109702438491,0.6062168840311591,0.8044602024729319,0.7389812615465822,0.6084718923198733,subject_06,42,24,54,54,True,"1,2,3,4,5,7,8,9,10,11,12,13,14,15",6,6,35364,2526,2526
0.5368171021377672,0.528291152863777,0.5644625991803179,0.5334252809179789,0.7695782827295772,0.6912114014251781,0.5368171021377672,0.528291152863777,0.5644625991803179,0.5334252809179789,0.7695782827295772,0.6912114014251781,0.5368171021377672,subject_07,42,28,58,58,True,"1,2,3,4,5,6,8,9,10,11,12,13,14,15",7,7,35364,2526,2526
0.620744259699129,0.518823864034711,0.6434103387404784,0.616447068873972,0.8088645967696403,0.7471628397994193,0.620744259699129,0.518823864034711,0.6434103387404784,0.616447068873972,0.8088645967696403,0.7471628397994193,0.620744259699129,subject_08,42,47,77,77,True,"1,2,3,4,5,6,7,9,10,11,12,13,14,15",8,8,35364,2526,2526
0.4259699129057799,0.31552931437886966,0.312837692232344,0.4176748608664038,0.7093170941915584,0.6173132752705199,0.4259699129057799,0.31552931437886966,0.312837692232344,0.4176748608664038,0.7093170941915584,0.6173132752705199,0.4259699129057799,subject_09,42,15,45,45,True,"1,2,3,4,5,6,7,8,10,11,12,13,14,15",9,9,35364,2526,2526
0.557403008709422,0.5103352300328267,0.5541879126948085,0.5552175023132765,0.7792087520152952,0.7049353391396146,0.557403008709422,0.5103352300328267,0.5541879126948085,0.5552175023132765,0.7792087520152952,0.7049353391396146,0.557403008709422,subject_10,42,35,65,65,True,"1,2,3,4,5,6,7,8,9,11,12,13,14,15",10,10,35364,2526,2526
0.7280285035629454,0.7304112065285951,0.7396198265792471,0.7259008499216232,0.8651144972414402,0.8186856690419635,0.7280285035629454,0.7304112065285951,0.7396198265792471,0.7259008499216232,0.8651144972414402,0.8186856690419635,0.7280285035629454,subject_11,42,43,73,73,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15",11,11,35364,2526,2526
0.4433887569279493,0.4188085863273728,0.4609602891482086,0.43944092649364025,0.7197176704658691,0.6289258379519662,0.4433887569279493,0.4188085863273728,0.4609602891482086,0.43944092649364025,0.7197176704658691,0.6289258379519662,0.4433887569279493,subject_12,42,13,43,43,True,"1,2,3,4,5,6,7,8,9,10,11,13,14,15",12,12,35364,2526,2526
0.6539984164687253,0.6250799956153542,0.6583237533856576,0.6486651001373581,0.8273132042675763,0.7693322776458169,0.6539984164687253,0.6250799956153542,0.6583237533856576,0.6486651001373581,0.8273132042675763,0.7693322776458169,0.6539984164687253,subject_13,42,15,45,45,True,"1,2,3,4,5,6,7,8,9,10,11,12,14,15",13,13,35364,2526,2526
0.6096595407759303,0.5966847077789993,0.6089770175524495,0.609506454740562,0.8057174547611154,0.7397730271839534,0.6096595407759303,0.5966847077789993,0.6089770175524495,0.609506454740562,0.8057174547611154,0.7397730271839534,0.6096595407759303,subject_14,42,49,79,79,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,15",14,14,35364,2526,2526
0.6456848772763262,0.5174955995144788,0.43943052081738215,0.6380853937539624,0.8225579881454071,0.7637899181842175,0.6456848772763262,0.5174955995144788,0.43943052081738215,0.6380853937539624,0.8225579881454071,0.7637899181842175,0.6456848772763262,subject_15,42,23,53,53,True,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,15,35364,2526,2526
