accuracy,f1,precision,sensitivity,specificity,class_accuracy,best_val_accuracy,best_val_f1,best_val_precision,best_val_sensitivity,best_val_specificity,best_val_class_accuracy,final_accuracy,split,seed,best_epoch,stopped_epoch,epochs_ran,early_stopped,train_subjects,val_subjects,test_subjects,train_count,val_count,test_count
0.4348503740648379,0.1515316098196828,0.10871259351620947,0.25,0.75,0.717425187032419,0.4348503740648379,0.1515316098196828,0.10871259351620947,0.25,0.75,0.717425187032419,0.4348503740648379,subject_group_00,42,7,37,37,True,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22","11,18,19,23","11,18,19,23",15238,3208,3208
0.4067955112219451,0.20035071338290386,0.19874234470691163,0.26951494147761024,0.7618450572169343,0.7033977556109726,0.4067955112219451,0.20035071338290386,0.19874234470691163,0.26951494147761024,0.7618450572169343,0.7033977556109726,0.4067955112219451,subject_group_01,42,3,33,33,True,"1,2,3,4,5,6,9,10,11,12,13,14,15,18,19,20,21,22,23","7,8,16,17","7,8,16,17",15238,3208,3208
0.43640897755610975,0.18199090634131465,0.2475094171292625,0.26048788850567756,0.7534826080431425,0.718204488778055,0.43640897755610975,0.18199090634131465,0.2475094171292625,0.26048788850567756,0.7534826080431425,0.718204488778055,0.43640897755610975,subject_group_02,42,7,37,37,True,"2,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,21,22,23","1,4,10,20","1,4,10,20",15238,3208,3208
0.5579800498753117,0.1790716286514606,0.13949501246882792,0.25,0.75,0.7789900249376558,0.5579800498753117,0.1790716286514606,0.13949501246882792,0.25,0.75,0.7789900249376558,0.5579800498753117,subject_group_03,42,12,42,42,True,"1,2,3,4,5,7,8,9,10,11,14,16,17,18,19,20,21,22,23","6,12,13,15","6,12,13,15",15238,3208,3208
0.4766209476309227,0.1679762431671583,0.2275907279211244,0.25174711810411143,0.750971423246987,0.7383104738154613,0.4766209476309227,0.1679762431671583,0.2275907279211244,0.25174711810411143,0.750971423246987,0.7383104738154613,0.4766209476309227,subject_group_04,42,22,52,52,True,"1,2,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23","3,5,21,22","3,5,21,22",15238,3208,3208
