count,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,class_accuracy_mean,class_accuracy_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_f1_mean,best_val_f1_std,best_val_precision_mean,best_val_precision_std,best_val_sensitivity_mean,best_val_sensitivity_std,best_val_specificity_mean,best_val_specificity_std,best_val_class_accuracy_mean,best_val_class_accuracy_std,final_accuracy_mean,final_accuracy_std,seed_mean,seed_std,best_epoch_mean,best_epoch_std,stopped_epoch_mean,stopped_epoch_std,epochs_ran_mean,epochs_ran_std,early_stopped_mean,early_stopped_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,dataset,model,protocol,seed
5,0.3615277777777778,0.04801306225785379,0.1608449319593494,0.03398564891803032,0.1318869678745472,0.05072662832286087,0.2601987600697259,0.017165645823079854,0.7536722718794981,0.0058477873540398575,0.6807638888888888,0.02400653112892688,0.3615277777777778,0.04801306225785379,0.1608449319593494,0.03398564891803032,0.1318869678745472,0.05072662832286087,0.2601987600697259,0.017165645823079854,0.7536722718794981,0.0058477873540398575,0.6807638888888888,0.02400653112892688,0.3615277777777778,0.04801306225785379,42.0,0.0,5.8,6.906518659932803,35.8,6.906518659932803,35.8,6.906518659932803,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,da_snn,subject_80_20,42
5,0.35756944444444444,0.04789112141128943,0.16128839883740514,0.02962945491260694,0.2003388531000231,0.08739521912379988,0.2537666855770011,0.006124538153636956,0.7512957107116913,0.00246307262489404,0.6787847222222222,0.02394556070564472,0.35756944444444444,0.04789112141128943,0.16128839883740514,0.02962945491260694,0.2003388531000231,0.08739521912379988,0.2537666855770011,0.006124538153636956,0.7512957107116913,0.00246307262489404,0.6787847222222222,0.02394556070564472,0.35756944444444444,0.04789112141128943,42.0,0.0,3.2,3.8340579025361627,33.2,3.8340579025361627,33.2,3.8340579025361627,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,eegnet,subject_80_20,42
5,0.36062500000000003,0.04957355762642763,0.15207907846487584,0.02903042547279825,0.21168264190456704,0.11000994661177708,0.2525944967447861,0.004002167147808358,0.7511664742292149,0.002016586803754888,0.6803125000000001,0.0247867788132138,0.36062500000000003,0.04957355762642763,0.15207907846487584,0.02903042547279825,0.21168264190456704,0.11000994661177708,0.2525944967447861,0.004002167147808358,0.7511664742292149,0.002016586803754888,0.6803125000000001,0.0247867788132138,0.36062500000000003,0.04957355762642763,42.0,0.0,18.2,22.653917983430592,48.2,22.653917983430592,48.2,22.653917983430592,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,deepconvnet,subject_80_20,42
5,0.3655555555555555,0.04643401103072224,0.1780757815714365,0.04905552835147778,0.20006695429707166,0.08960829189789607,0.2651646311818253,0.01967070199267439,0.75625996948047,0.007613360119465162,0.6827777777777777,0.02321700551536111,0.36625,0.04447590032676735,0.18150462864798422,0.0499324798550606,0.27244603350294616,0.10960799036910576,0.2665699405236542,0.019934689706105,0.756574283321943,0.007505132841512253,0.683125,0.022237950163383667,0.3655555555555555,0.04643401103072224,42.0,0.0,42.2,36.58141604694931,72.2,36.58141604694931,72.2,36.58141604694931,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,dh_snn,subject_80_20,42
5,0.3591666666666667,0.05331054200520651,0.1479768691950573,0.027744054619247588,0.12350976373370885,0.04831659310029222,0.2559274847870182,0.00812280252489477,0.751692294489248,0.002317353607188849,0.6795833333333334,0.02665527100260323,0.3591666666666667,0.05331054200520651,0.1479768691950573,0.027744054619247588,0.12350976373370885,0.04831659310029222,0.2559274847870182,0.00812280252489477,0.751692294489248,0.002317353607188849,0.6795833333333334,0.02665527100260323,0.3591666666666667,0.05331054200520651,42.0,0.0,5.0,7.314369419163897,35.0,7.314369419163897,35.0,7.314369419163897,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,efficientnet_b0,subject_80_20,42
5,0.36597222222222225,0.039117630848632394,0.16383416488535607,0.059619936675387765,0.13499168215779625,0.09011902610616793,0.25938419310158445,0.020983693689127315,0.7530692279979527,0.006863002441868085,0.6829861111111111,0.019558815424316176,0.36597222222222225,0.039117630848632394,0.16383416488535607,0.059619936675387765,0.13499168215779625,0.09011902610616793,0.25938419310158445,0.020983693689127315,0.7530692279979527,0.006863002441868085,0.6829861111111111,0.019558815424316176,0.36597222222222225,0.039117630848632394,42.0,0.0,8.2,13.405222862750175,38.2,13.405222862750175,38.2,13.405222862750175,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,mobilenetv3_large,subject_80_20,42
5,0.35687499999999994,0.05202160694110255,0.1665055739804069,0.021791433409450982,0.2219714248880532,0.07513165115549457,0.25856888052384075,0.010633315498750948,0.7530408496611309,0.004169352979857085,0.6784375,0.026010803470551295,0.35687499999999994,0.05202160694110255,0.1665055739804069,0.021791433409450982,0.2219714248880532,0.07513165115549457,0.25856888052384075,0.010633315498750948,0.7530408496611309,0.004169352979857085,0.6784375,0.026010803470551295,0.35687499999999994,0.05202160694110255,42.0,0.0,1.8,0.8366600265340756,31.8,0.8366600265340756,31.8,0.8366600265340756,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,mobilenetv3_small,subject_80_20,42
5,0.35993055555555553,0.053071414514597647,0.13994240963942556,0.017295089826749786,0.28421435172699383,0.11904277669256941,0.2528747498690139,0.0023454521301586218,0.7511007502029879,0.0009169699519767069,0.6799652777777777,0.02653570725729877,0.35993055555555553,0.053071414514597647,0.13994240963942556,0.017295089826749786,0.28421435172699383,0.11904277669256941,0.2528747498690139,0.0023454521301586218,0.7511007502029879,0.0009169699519767069,0.6799652777777777,0.02653570725729877,0.35993055555555553,0.053071414514597647,42.0,0.0,14.2,5.630275304103699,44.2,5.630275304103699,44.2,5.630275304103699,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,shallowconvnet,subject_80_20,42
5,0.35340277777777784,0.044791935830371284,0.16456588005492853,0.02241751872744997,0.15278692630659965,0.05151041771137002,0.2547294107685071,0.007837698494636378,0.7524245539667467,0.0030556486486565024,0.6767013888888889,0.022395967915185656,0.35340277777777784,0.044791935830371284,0.16456588005492853,0.02241751872744997,0.15278692630659965,0.05151041771137002,0.2547294107685071,0.007837698494636378,0.7524245539667467,0.0030556486486565024,0.6767013888888889,0.022395967915185656,0.35340277777777784,0.044791935830371284,42.0,0.0,1.8,1.0954451150103324,31.8,1.0954451150103321,31.8,1.0954451150103321,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,shufflenetv2,subject_80_20,42
5,0.3583333333333333,0.05319643889501543,0.13143919365033763,0.014776669552504678,0.08958333333333332,0.013299109723753857,0.25,0.0,0.75,0.0,0.6791666666666667,0.026598219447507686,0.3583333333333333,0.05319643889501543,0.13143919365033763,0.014776669552504678,0.08958333333333332,0.013299109723753857,0.25,0.0,0.75,0.0,0.6791666666666667,0.026598219447507686,0.3583333333333333,0.05319643889501543,42.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0,1.0,0.0,12480.0,0.0,2880.0,0.0,2880.0,0.0,deap,squeezenetv2,subject_80_20,42
